SOCCode	Element_ID	Element_Name	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	2.C.3.d	Building and Construction	15.53473939		All occ	26942.846138	2	All occupations	2	0
00-0000	2.C.3.d	Building and Construction	6.4574025917		All occ	27771.860367	3	All occupations	2	0
00-0000	2.C.3.d	Building and Construction	62.937855382		All occ	47883.827331	0	All occupations	3	0
00-0000	2.C.3.d	Building and Construction	29.334588623		All occ	46974.542692	1	All occupations	3	0
00-0000	2.C.3.d	Building and Construction	14.547012856		All occ	43482.209091	2	All occupations	3	0
00-0000	2.C.3.d	Building and Construction	6.3279080552		All occ	37474.387152	3	All occupations	3	0
00-0000	2.C.3.d	Building and Construction	50.078982937		All occ	80562.420451	0	All occupations	4	0
00-0000	2.C.3.d	Building and Construction	25.714408717		All occ	77967.293344	1	All occupations	4	0
00-0000	2.C.3.d	Building and Construction	15.078708451		All occ	67176.042403	2	All occupations	4	0
00-0000	2.C.3.d	Building and Construction	6.6084251572		All occ	64294.171501	3	All occupations	4	0
00-0000	2.C.3.d	Building and Construction	36.720364761		All occ	102344.26088	0	All occupations	5	0
00-0000	2.C.3.d	Building and Construction	18.575065336		All occ	90550.582841	1	All occupations	5	0
00-0000	2.C.3.d	Building and Construction	13.041141038		All occ	90252.934204	2	All occupations	5	0
00-0000	2.C.3.d	Building and Construction	3.1491619403		All occ	72574.729471	3	All occupations	5	0
00-0000	2.C.3.e	Mechanical	59.656803869		All occ	34182.270855	0	All occupations	1	0
00-0000	2.C.3.e	Mechanical	45.193727611		All occ	23592.415265	1	All occupations	1	0
00-0000	2.C.3.e	Mechanical	25.447968854		All occ	19489.96267	2	All occupations	1	0
00-0000	2.C.3.e	Mechanical	18.168754445		All occ	19800.460562	3	All occupations	1	0
00-0000	2.C.3.e	Mechanical	68.593627678		All occ	39480.892305	0	All occupations	2	0
00-0000	2.C.3.e	Mechanical	55.729519965		All occ	36371.799237	1	All occupations	2	0
00-0000	2.C.3.e	Mechanical	34.014052135		All occ	27230.227419	2	All occupations	2	0
00-0000	2.C.3.e	Mechanical	18.167166356		All occ	26922.964888	3	All occupations	2	0
00-0000	2.C.3.e	Mechanical	78.290372791		All occ	45936.018449	0	All occupations	3	0
00-0000	2.C.3.e	Mechanical	55.714558311		All occ	48685.574266	1	All occupations	3	0
00-0000	2.C.3.e	Mechanical	31.994835761		All occ	47777.632896	2	All occupations	3	0
00-0000	2.C.3.e	Mechanical	14.944366395		All occ	37512.89289	3	All occupations	3	0
00-0000	2.C.3.e	Mechanical	53.456580298		All occ	88260.291487	0	All occupations	4	0
00-0000	2.C.3.e	Mechanical	34.1471924		All occ	78437.122504	1	All occupations	4	0
00-0000	2.C.3.e	Mechanical	21.477376482		All occ	64538.563408	2	All occupations	4	0
00-0000	2.C.3.e	Mechanical	9.6206476436		All occ	61871.679321	3	All occupations	4	0
00-0000	2.C.3.e	Mechanical	51.725304944		All occ	98951.696851	0	All occupations	5	0
00-0000	2.C.3.e	Mechanical	29.673063196		All occ	97683.272661	1	All occupations	5	0
